"fit","upr","lwr"
"1",157.228602393689,168.501343624146,145.955861163231
"2",153.750086684324,169.692150217559,137.808023151088
"3",149.52526907931,169.050229631039,130.000308527581
"4",149.973021748495,172.51850420941,127.427539287579
"5",144.497052220198,169.703667904266,119.290436536131
"6",142.311736307627,169.924200324682,114.699272290572
"7",141.926968245896,171.751838135671,112.102098356121
"8",137.635851259279,169.51997832575,105.751724192808
"9",134.002454632968,167.820678324341,100.184230941595
"10",131.438642971847,167.086180733782,95.7911052099121
"11",129.478868027215,166.866321047412,92.091415007018
"12",128.069940829835,167.119861933293,89.0200197263768
"13",125.065196426577,165.709642948029,84.420749905125
"14",127.892225715762,170.070961209895,85.7134902216288
"15",125.729602752809,169.388741804477,82.070463701141
"16",124.046723723597,169.137688645427,78.9557588017664
"17",120.662488957056,167.141191740488,74.1837861736244
"18",121.184233308149,169.010423907856,73.3580427084429
"19",117.637710205655,166.774450045904,68.5009703654057
"20",124.721147829038,175.134379197174,74.3079164609024
"21",122.022028893185,173.680218871406,70.363838914963
"22",121.596326605117,174.470169728867,68.7224834813677
"23",120.169066583768,174.231234330943,66.1068988365922
"24",118.382634116846,173.607562150956,63.1577060827358
"25",123.435853337862,179.799559490151,67.0721471855744
"26",124.172377706665,181.652305212451,66.6924502008802
"27",125.365299368598,183.940181023786,66.7904177134111
"28",123.166025603203,182.815765382753,63.5162858236527
"29",123.41144573422,184.117015088414,62.7058763800253
"30",124.485671972183,186.229018540585,62.7423254037813
"31",125.137579891978,187.901546786325,62.373612997632
"32",125.381435272308,189.14968940525,61.6131811393661
"33",126.647508776531,191.404476973107,61.8905405799552
"34",127.005613427014,192.736425264851,61.2748015891761
"35",128.61379602032,195.304232513944,61.9233595266967
"36",136.451517782559,204.087965165304,68.815070399813
"37",139.268457896858,207.837865867233,70.6990499264825
"38",135.992069381386,205.481913274265,66.5022254885075
"39",145.676768805609,216.07501522628,75.2785223849381
"40",150.094195599298,221.389271123168,78.7991200754273
"41",160.600305963978,232.78106855903,88.4195433689268
"42",156.657068663011,229.712781537857,83.6013557881636
"43",145.320106089524,219.240413708614,71.3997984704332
"44",144.594496842754,219.369402883148,69.8195908023597
"45",143.302570437206,218.922417489409,67.6827233850024
"46",144.874644679749,221.330095519095,68.4191938404044
"47",147.273056206262,224.55507648198,69.9910359305452
"48",149.727634941172,227.827477148089,71.627792734256
"49",145.983063159288,224.892251772492,67.0738745460851
"50",145.349023591908,225.059341258086,65.6387059257306
"51",147.005651652772,227.509126343569,66.5021769619752
"52",145.348087274018,226.636980316922,64.0591942311143
"53",145.702074752516,227.768869663671,63.6352798413612
"54",147.535989366052,230.373381417217,64.6985973148869
"55",147.58030654142,231.18119300016,63.9794200826791
"56",149.061985279383,233.419456267649,64.7045142911172
"57",150.740643153988,235.847973075593,65.6333132323823
"58",151.517444669814,237.368084162096,65.6668051775312
"59",152.353357903197,238.940926272349,65.7657895340441
"60",152.678839602229,239.997117705565,65.3605614988927
"61",152.003310791337,240.046234333098,63.9603872495761
"62",153.137009636171,241.898662846492,64.3753564258499
"63",149.175344781004,238.64995445033,59.7007351116791
"64",146.803600129655,236.985529973316,56.6216702859938
"65",143.827373621053,234.711118950875,52.9436282912318
"66",139.547929829246,231.128112511006,47.9677471474847
"67",139.915552190873,232.1869158682,47.644188513546
"68",135.309514068302,228.266919635166,42.3521085014382
"69",131.444245374357,225.082666679777,37.8058240689374
"70",132.11309222629,226.427611996154,37.7985724564255
"71",130.748050660894,225.733856622991,35.7622446987982
"72",128.074628397178,223.727009596592,32.4222471977652
"73",130.377853867126,226.692197160152,34.0635105741013
"74",130.230450681807,227.202237397406,33.2586639662086
"75",130.923132510229,228.547935268874,33.2983297515833
"76",129.941429810406,228.214909490904,31.6679501299077
"77",130.705265274934,229.623168120486,31.7873624293817
"78",131.029245224272,230.587400079667,31.4710903688756
"79",134.190869735059,234.385185407456,33.9965540626627
"80",132.925482712488,233.75194544876,32.0990199762169
"81",135.323718671902,236.77838974602,33.8690475977835
"82",134.679059547499,236.758072951854,32.6000461431442
"83",132.801376352638,235.500936587603,30.1018161176724
"84",134.588729931441,237.905109887884,31.2723499749976
"85",136.593534245206,240.523073174968,32.6639953154433
"86",137.091348751108,241.630450320817,32.5522471813994
"87",137.830951606629,242.97608203049,32.6858211827677
"88",136.031935096042,241.779621343542,30.2842488485429
"89",136.55161629538,242.898444370073,30.2047882206862
"90",137.312776810977,244.255390096782,30.3701635251714
"91",138.817543051688,246.352640723314,31.2824453800621
"92",144.011402591255,252.135738085606,35.8870670969033
"93",144.563767229752,253.274146775331,35.8533876841731
"94",148.386426754433,257.679707955945,39.0931455529214
"95",155.36448959774,265.237580073259,45.491399122221
"96",158.727079620589,269.176935688809,48.2772235523691
"97",158.388834347865,269.412459763086,47.3652089326442
"98",163.41251686331,275.006961595958,51.8180721306608
"99",168.832758275853,280.995117336444,56.6703992152615
"100",170.11762084458,282.845033149156,57.3902085400036
"101",172.164594296131,285.454241571311,58.8749470209506
"102",175.741457453178,289.590563179063,61.8923517272938
"103",181.772342956027,296.178171345286,67.3665145667685
"104",180.906047256586,295.865902268156,65.9461922450152
"105",178.721837460198,294.2330618461,63.210613074296
"106",181.92877495007,297.988749333916,65.8688005662235
"107",186.483157472384,303.08929945825,69.8770154865184
"108",190.129880967981,307.279644278356,72.9801176576067
"109",191.942348747929,309.63322238954,74.2514751063183
"110",193.489207943908,311.718715400272,75.2597004875436
"111",196.154881021566,314.920579471174,77.3891825719573
"112",197.534348092354,316.833827651454,78.2348685332533
