"fit","upr","lwr"
"1",546.189677872037,1189.35969980183,-96.9803440577592
"2",491.978565579301,1135.18591052208,-151.228779363483
"3",570.907866413803,1214.15324475354,-72.3375119259337
"4",557.336771396967,1200.62090012943,-85.9473573354916
"5",533.211690457976,1176.53529318675,-110.111912270801
"6",672.405305957453,1315.76911288992,29.0414990249816
"7",525.843161097983,1169.24790904118,-117.561586845217
"8",634.793629985804,1278.24006234223,-8.65280237062041
"9",519.921349387822,1163.41021615116,-123.567517375514
"10",508.305313309445,1151.83737106023,-135.226744441335
"11",506.024148736438,1149.60016063762,-137.551863164745
"12",495.662473373243,1139.28320916572,-147.958262419229
"13",441.646106653594,1085.31234265159,-202.020129344407
"14",538.173067084908,1181.88558617138,-105.539452001564
"15",461.39547539547,1105.15506701733,-182.364116226388
"16",518.305968569393,1162.11342873272,-125.501491593931
"17",485.074227828662,1128.93035909381,-158.781903436486
"18",402.023513409246,1045.92912488589,-241.882098067396
"19",253.895917385101,897.851824727174,-390.059989956971
"20",451.844307950511,1095.85133335109,-192.162717450067
"21",479.882398397604,1123.94137058369,-164.176573788484
"22",450.116377864951,1094.22813209219,-193.995376362293
"23",515.998475573357,1160.16385362067,-128.166902473957
"24",363.086022983931,1007.30587314804,-281.13382718018
"25",468.604811474124,1112.87998856404,-175.670365615789
"26",363.424190971736,1007.75555630311,-280.907174359637
"27",443.79984660747,1088.18826799691,-200.588574781969
"28",394.868721684324,1039.31507344359,-249.577630074944
"29",427.657380821021,1072.16254375116,-216.847782109123
"30",431.016272484819,1075.5811338702,-213.548588900567
"31",430.137475105834,1074.7629287081,-214.487978496432
"32",453.968998614088,1098.65594466601,-190.717947437834
"33",521.422970576321,1166.17231577559,-123.326374622951
"34",521.439636751597,1166.25229425452,-123.373020751326
"35",451.480428301307,1096.35731771639,-193.396461113776
"36",580.310448476329,1225.25249585781,-64.6315989051493
"37",473.887423765493,1118.89556160675,-171.120714075765
"38",432.421139257339,1077.49630648425,-212.654027969569
"39",482.927779554873,1128.07092151903,-162.215362409284
"40",560.919850193217,1206.13191866511,-84.2922182786783
"41",471.246835763421,1116.52878892549,-174.035117398651
"42",601.165262794614,1246.51806523422,-44.1875396449975
"43",390.355275113661,1035.77989781598,-255.069347588661
"44",524.760529903718,1170.25795024452,-120.736890437084
"45",535.062946022477,1180.63414776082,-110.508255715868
"46",497.360431916824,1143.00640518767,-148.285541354026
"47",524.610200145227,1170.33194145196,-121.111541161503
"48",544.968316012771,1190.76682821958,-100.830196194042
"49",516.104444331532,1161.98073665578,-129.771847992719
"50",575.045484393053,1221.00057239748,-70.909603611375
"51",541.597150099775,1190.90580704397,-107.71150684442
"52",487.386037807038,1136.77513299535,-162.003057381276
"53",566.315338641541,1215.78590151299,-83.1552242299083
"54",552.744243624704,1202.29730990374,-96.8088226543338
"55",528.619162685713,1178.2557743741,-121.017449002678
"56",667.81277818519,1317.53398355379,18.091572816592
"57",521.250633325721,1171.05748690615,-128.556220254709
"58",630.201102213541,1280.09466478978,-19.6924603627023
"59",515.328821615559,1165.31016021545,-134.652516984328
"60",503.712785537182,1153.78297342379,-146.357402349421
"61",501.431620964175,1151.5917376271,-148.728495698755
"62",491.069945600981,1141.32107674759,-159.181185545626
"63",437.053578881331,1087.3968164278,-213.289658665143
"64",533.580539312645,1184.01698137502,-116.855902749733
"65",456.802947623207,1107.33369850828,-193.727803261867
"66",513.71344079713,1164.33961099325,-136.91272939899
"67",480.481700056399,1131.20440622419,-170.24100611139
"68",397.430985636984,1048.25135059995,-253.38937932598
"69",249.303389612839,900.222542347877,-401.6157631222
"70",447.251780178249,1098.27085580607,-203.767295449573
"71",475.289870625342,1126.41001040077,-175.83026915009
"72",445.523850092688,1096.74620139489,-205.698501209518
